author,edition_year,name,price,publisher,ratings
唐七公子,2011-1,华胥引（全二册）,39.80元,现代出版社,8.4
鲁迅 著,2003-7,阿Q正传,14.50元,上海书店出版社,8.7
张爱玲,2006-12,半生缘,28.00元,北京十月文艺出版社,8.6
吴念真,2011-9,这些人，那些事,28.00元,译林出版社,8.8
安东尼,2008-3,陪安东尼度过漫长岁月,18.00,长江文艺出版社,8.3
亦舒,2007-2,喜宝,22.00元,新世界出版社,8.0
三毛,2007-6,梦里花落知多少,28.00元,北京十月文艺出版社,8.8
金庸,1999-04,射雕英雄传（全四册）,47.00元,生活·读书·新知三联书店,8.9
王小波,2006-4,一只特立独行的猪,18.80元,北方文艺出版社,8.8
【英】蕾秋·乔伊斯,2013-9-1,一个人的朝圣,32.80,北京联合出版公司,8.1
[美] 莫提默·J. 艾德勒,2004-1,如何阅读一本书,38.00元,商务印书馆,8.4
鲁迅,1972年4月,朝花夕拾,0.25元,人民文学出版社,8.7
[德国]格林兄弟,1994-11,格林童话全集,21.45元,人民文学出版社,9.0
龙应台,2009-12-1,孩子你慢慢来,28.00元,生活·读书·新知三联书店,8.8
幾米,2002-2,地下铁,32.00元,辽宁教育出版社,8.3
[美] 哈珀·李,2012-9,杀死一只知更鸟,32.00元,译林出版社,9.2
[美] 欧·亨利,2003-7,麦琪的礼物,25.00元,上海社会科学院出版社,8.6
[法国] 儒尔·凡尔纳,2002-9,海底两万里,19.50元,译林出版社,8.4
[英]毛姆,2007-3,刀锋,18.00元,上海译文出版社,9.0
蒋勋,2009-10-1,孤独六讲,36.00元,广西师范大学出版社,8.1
桐华,2006-6,步步惊心,25.00元,民族出版社,8.1
幾米,2000-2-1,月亮忘記了,NT$ 299,格林,8.6
江南,2004-1,此间的少年,25.00元,华文出版社,8.4
（美）鲁思・本尼迪克特,1990-6,菊与刀,16.00,商务印书馆,8.2
[美]莉兹•克里莫,2015-8,你今天真好看,39.00元,雅众文化/天津人民出版社,8.7
[美] 海莲·汉芙,2005-05-01,查令十字街84号,18.00元,译林出版社,8.3
阿来,1998-3-1,尘埃落定,22.0,人民文学出版社,8.4
刘慈欣,2008-11,流浪地球,28.00元,湖北长江出版集团，长江文艺出版社,8.6
刘慈欣,2005-6,球状闪电,22.00元,四川科学技术出版社,8.7
桐华,2010-01,那些回不去的年少时光,23.80元,江苏文艺出版社,8.4
[澳] 考琳·麦卡洛,1998-7,荆棘鸟,28.00元,译林出版社,8.6
张爱玲,2005-6,金锁记,13.5元,哈尔滨出版社,8.5
三毛,2003-6,哭泣的骆驼,15.80元,哈尔滨出版社,8.9
[法] 雨果,1992-6,悲惨世界（上中下）,66.00元,人民文学出版社,8.9
高木直子,2004-12-1,一個人住第5年,NT$220,大田,8.4
（美）罗伯特・T・清崎,2000-09,富爸爸，穷爸爸,18.80,世界图书出版公司,8.2
[美] 彼得·海斯勒,2011-1,寻路中国,33.00元,上海译文出版社,9.0
梁文道,2009-1,常识,38.00,广西师范大学出版社,8.1
曹禺,1999-05,雷雨,9.20,人民文学出版社,8.6
[美] 沃尔特·艾萨克森,2011-10-24,史蒂夫·乔布斯传,68.00元,中信出版社,8.7
[印] 罗宾德拉纳德·泰戈尔,2004-6,飞鸟集,16.80元,哈尔滨出版社,8.9
[明] 施耐庵,1997-1,水浒传（全二册）,50.60元,人民文学出版社,8.6
尾田荣一郎,2007-11,海贼王,7.50元,浙江人民美术出版社,9.5
金庸,2008-3,鹿鼎记（全五册）,108.00元,广州出版社 花城出版社,8.8
八月长安,2009-12,你好，旧时光（上 下）,39.80元,新世界出版社,8.8
金庸,1999-04,倚天屠龙记(共四册),47.00,三联书店,8.6
吴承恩,2004-8,西游记（全二册）,47.20元,人民文学出版社,8.8
[美] 奥德丽·尼芬格,2007-4,时间旅行者的妻子,29.90元,人民文学出版社,8.1
鲁迅,2006-3,狂人日记,39.80元,京华出版社,8.7
王安忆,2003-8,长恨歌,22.00元,南海出版公司,8.2
笛安,2010-7-1,东霓,26.80元,长江文艺出版社,8.1
八月长安,2013-8-5,最好的我们,55,湖南文艺出版社,8.8
鲍鲸鲸,2010-1,失恋33天,25.00元,中信出版社,8.1
约翰·赫斯特（John Hirst）,2011-11-25,你一定爱读的极简欧洲史,25.00元,广西师范大学出版社,8.2
[日] 川端康成,2002-2,伊豆的舞女,23.80元,广西师范大学出版社,8.2
[英] 史蒂芬·霍金,2010-4,时间简史,45.00元,湖南科学技术出版社,8.8
[美] 梭罗,2006-8,瓦尔登湖,11.00元,上海译文出版社,8.4
史铁生,2002-5,我与地坛,25.00元,春风文艺出版社,9.0
萧红,2005-01,呼兰河传,19.00,百花文艺出版社,8.9
林达,1997-5,历史深处的忧虑,19.00元,生活·读书·新知三联书店,9.0
[法] 司汤达,2002,红与黑,20.00元,人民文学出版社,8.2
钱穆,2001,中国历代政治得失,12.00元,生活·读书·新知三联书店,9.1
[美] E.B.怀特,2004-5,夏洛的网,17.00元,上海译文出版社,8.6
严歌苓,2011-10,陆犯焉识,35.00元,作家出版社,8.8
[英] 乔治·奥威尔,2003-4,一九八四·动物农场,23.00元,上海译文出版社,9.3
七堇年,2007-1,大地之灯,22.00元,长江文艺出版社,8.2
[意] 埃莱娜·费兰特,2017-1,我的天才女友,42.00元,人民文学出版社,8.5
[美] 罗伯特·西奥迪尼,2006-5,影响力,45.00元,中国人民大学出版社,8.6
九夜茴,2008-1,匆匆那年（上下）,29.00,东方出版社,8.3
安东尼,2010-10,橙,28.80元,长江文艺出版社,8.2
[德] 帕·聚斯金德,2005-5,香水,20.00元,上海译文出版社,8.5
[日] 村上春树,2002-12,世界尽头与冷酷仙境,23.00元,上海译文出版社,8.6
[美]  凯利·麦格尼格尔,2012-8,自控力,39.80元,文化发展出版社(原印刷工业出版社),8.3
路遥,2009-5,人生,20.00元,北京十月文艺出版社,8.4
[意大利]伊塔洛·卡尔维诺,2006-8,看不见的城市,16.00元,译林出版社,8.8
[美] 乔治·R. R. 马丁,2005-5,冰与火之歌（卷一）,68.00元,重庆出版社,9.3
九把刀,2007-1,那些年，我们一起追的女孩,20.00元,花山文艺出版社,8.2
[美] 彼得·海斯勒,2012-1,江城,36.00元,上海译文出版社,9.0
[奥] 卡夫卡,2003-4,变形记,16.00元,浙江文艺出版社,8.4
李笑来,2009-6,把时间当作朋友,32.00元,电子工业出版社,8.4
hans,2009-1,阿狸·梦之城堡,36.80元,上海锦绣文章出版社,9.0
[美] 丹.布朗,2005-2,天使与魔鬼,29.80元,人民文学出版社,8.1
沧月,2006-10,七夜雪,25.00元,北京十月文艺出版社,8.4
[美] 戴尔·卡耐基,2008-1,人性的弱点全集,25.00元,中国发展出版社,8.2
[日] 乙一,2007-10,ZOO,20.00元,当代世界出版社,8.6
章诒和,2004-1,往事并不如烟,35.00元,人民文学出版社,8.6
[日] 村上春树,2001-8,国境以南 太阳以西,13.50元,上海译文出版社,8.3
[以色列] 尤瓦尔·赫拉利,2017-2,未来简史,68.00元,中信出版集团,8.4
安妮宝贝,2002-8,蔷薇岛屿,18.00元,作家出版社,8.0
[法] 莫泊桑,2005-2,项链,28.00元,河北教育出版社,8.3
刘震云,2009-3,一句顶一万句,29.80,长江文艺出版社,8.7
[日]芥川龙之介,2008-7,罗生门,12.00元,上海译文出版社,8.7
林语堂,2005-7,京华烟云,43.00元,陕西师范大学出版社,8.5
[日] 村上春树,2013-10-1,没有色彩的多崎作和他的巡礼之年,39.50元,南海出版公司,8.2
木心 讲述,2013-1-10,文学回忆录（全2册）,98.00元,广西师范大学出版社,9.2
[德] 埃·奥·卜劳恩 绘,2003-4,父与子全集,20.00元,中国工人出版社,9.2
[英] 伊恩·麦克尤恩,2010-2,最初的爱情 最后的仪式,22.00元,南京大学出版社,8.0
纳训,2003-01,一千零一夜,22.0,人民文学出版社,8.6
[英] 阿加莎·克里斯蒂,2006-5,尼罗河上的惨案,22.00元,人民文学出版社,8.7
王国维,1998-12-01,人间词话,9.80元,上海古籍出版社,9.0
[捷克] 米兰·昆德拉,2004-5,生活在别处,25.00元,上海译文出版社,8.4
吴晓波,2007-1,激荡三十年（上）,35.00,中信出版社 浙江人民出版社,8.8
[日] 原研哉,2006-11,设计中的设计,48.00元,山东人民出版社,8.6
[美] 卡森·麦卡勒斯,2005-8,心是孤独的猎手,25.00元,上海三联书店,8.5
(英)W.萨默塞特·毛姆,2012-05-01,面纱,32.00元,重庆,8.7
三毛,2007-7,雨季不再来,28.00元,北京十月文艺出版社,8.7
[意] 埃莱娜·费兰特,2017-4,新名字的故事,59.00元,人民文学出版社,9.0
李海鹏,2010-6,佛祖在一号线,25.00元,文化艺术出版社,8.2
梁文道,2010-10,我执,35.00元,广西师范大学出版社,8.0
王小波,1997,我的精神家园,18.80元,文化艺术出版社,9.1
张爱玲,1997-3,第一炉香,11.5,花城出版社,8.4
苏童,2004-8,妻妾成群,23.00元,上海文艺出版社,8.2
海子,1999-04,海子的诗,15.40,人民文学出版社,8.9
严歌苓,2017-4-1,芳华,39.00元,人民文学出版社,8.1
江南,2005-6,九州·缥缈录,20.00元,新世界出版社,8.8
龙应台,2005-8,野火集,25.00元,文汇出版社,8.8
[澳] 马克斯·苏萨克,2007-8,偷书贼,25.00元,南海出版公司,8.0
[美] 尼尔·波兹曼,2011-6,娱乐至死,29.80元,广西师范大学出版社,8.6
[美]马里奥·普佐,1997-8,教父,23.30元,译林出版社,9.0
三毛,2003-08,万水千山走遍,13.80,哈尔滨出版社,8.8
[英] 莎士比亚,2001-1,哈姆莱特,7.00元,人民文学出版社,8.5
[美] 约翰·威廉斯,2016-1,斯通纳,49.00元,上海人民出版社,8.8
[日] 岛田庄司,2008-9,占星术杀人魔法,28.00,新星出版社,8.3
白先勇,2010-10,台北人,38.00元,广西师范大学出版社,8.9
[日] 村上春树,2002-6,舞！舞！舞！,25.00元,上海译文出版社,8.3
吴军,2011-8,浪潮之巅,55.00元,电子工业出版社,9.1
[英]狄更斯,1991-7,雾都孤儿,10.10元,上海译文出版社,8.1
王朔,2004年02月,动物凶猛,15.50元,中国电影出版社,8.3
夏达,2009-12,子不语1,RMB36.00,新世纪出版社,9.0
[日] 东野圭吾,2011-9,新参者,28.00元,南海出版公司,8.4
严歌苓,2008-4,小姨多鹤,28.00元,作家出版社,8.6
[美] 史蒂芬·柯维,2011-6,高效能人士的七个习惯（精华版）,29.00元,中国青年出版社,8.2
[美] 艾·弗洛姆,2008-4,爱的艺术,15.00元,上海译文出版社,8.8
[英] 阿加莎·克里斯蒂,2006-5,罗杰疑案,21.00元,人民文学出版社,8.9
杨显惠,2008-09,夹边沟记事,34.00元,花城出版社,9.2
王小波,1997-5,白银时代,10.00元,花城出版社,8.4
海宴,2007-12,琅琊榜,49.80元,朝华出版社,8.5
（英）乔治·奥威尔,2000-08,动物庄园,18.00,上海人民出版社,9.1
刘瑜,2013-1,观念的水位,36.00元,浙江大学出版社,8.3
[美] 贾雷德·戴蒙德,2006-4-1,枪炮、病菌与钢铁,45.00元,上海世纪出版集团,8.8
[瑞典] 弗雷德里克·巴克曼,2015-12,一个叫欧维的男人决定去死,35.00元,四川文艺出版社,9.0
王小波,2005-1,红拂夜奔,28.00元,江苏文艺出版社,8.6
齐邦媛,2010-10,巨流河,39.00元,生活·读书·新知三联书店,8.7
湊佳苗,2009-8,告白,NT$250,時報文化,8.6
黄仁宇,2007-2,中国大历史,19.00元,生活·读书·新知三联书店,8.3
[日] 村上春树,2001-8,寻羊冒险记,18.80元,上海译文出版社,8.1
桐华,2007-9,云中歌1,24.80元,作家出版社,8.0
匪我思存,2006-9,来不及说我爱你,20.00元,新世界出版社,8.1
[美] 米奇·阿尔博姆,2007-7,相约星期二,19.00元,上海译文出版社,8.4
林达,2002-5,带一本书去巴黎,35.00元,生活·读书·新知三联书店,8.5
韩寒,2009-08-01,可爱的洪水猛兽,25.00元,万卷出版公司,8.1
陈丹青,2005-1,退步集,38.00元,广西师范大学出版社,8.1
